Продукт,Калорийность,Белки,Жиры,Углеводы
Мороженое с Карамелью [Макдоналдс],319 кКал,"5,6 г","6,9 г",59 г
Мороженое с Клубникой [Макдоналдс],265 кКал,5 г,5 г,50 г
Мороженое с Шоколадом [Макдоналдс],315 кКал,6 г,9 г,52 г
Мороженое Шоколадное [Макдоналдс],310 кКал,"6,4 г",9 г,51 г
Мохито Итальано [Макдоналдс],82 кКал,0 г,0 г,20 г
Мусс с Бельгийским Шоколадом [Макдоналдс],262 кКал,"2,4 г",18 г,22 г
Мусс Шоколадный [Макдоналдс],353 кКал,"3,1 г",24 г,29 г
Наггетс Бокс [Макдоналдс],456 кКал,17 г,22 г,45 г
Нагетсы (6) [Макдоналдс],268 кКал,17 г,14 г,18 г
Нагетсы [Макдоналдс],45 кКал,"2,8 г","2,3 г","3,2 г"
Напиток Апельсиновый сок McDonalds 400 мл [Макдоналдс],190 кКал,3 г,1 г,41 г
Напиток Двойной Эспрессо McDonalds [Макдоналдс],3 кКал,"0,2 г","0,1 г","0,2 г"
Напиток Капучино [Макдоналдс],105 кКал,5 г,5 г,7 г
Напиток Капучино McDonalds 300 мл [Макдоналдс],125 кКал,6 г,7 г,9 г
Напиток Кока-Кола McDonalds 400 мл [Макдоналдс],170 кКал,0 г,0 г,42 г
Напиток Кока-Кола Лайт McDonalds 400 мл [Макдоналдс],2 кКал,"0,4 г",0 г,0 г
Напиток Кофе McDonalds 200 мл [Макдоналдс],7 кКал,"0,6 г","0,2 г","0,6 г"
Напиток Кофе Глясе [Макдоналдс],125 кКал,4 г,3 г,19 г
Напиток Кофе Глясе McDonalds [Макдоналдс],125 кКал,4 г,3 г,19 г
Напиток Кофе Латте [Макдоналдс],175 кКал,8 г,9 г,12 г
Напиток Кофе Латте McDonalds [Макдоналдс],125 кКал,6 г,7 г,10 г
Напиток Липтон Айс-Ти Зелёный McDonalds 400 мл [Макдоналдс],110 кКал,0 г,0 г,27 г
Напиток Липтон Айс-Ти Лимон McDonalds 400 мл [Макдоналдс],110 кКал,0 г,0 г,27 г
Напиток Спрайт McDonalds 400 мл [Макдоналдс],165 кКал,"0,4 г",0 г,41 г
Напиток Фанта McDonalds 400 мл [Макдоналдс],185 кКал,"0,4 г",0 г,46 г
Напиток Чай чёрный/зелёный McDonalds [Макдоналдс],0 кКал,0 г,0 г,0 г
Облепиховый Пунш [Макдоналдс],127 кКал,"0,2 г","1,2 г",29 г
Овощной Салат [Макдоналдс],60 кКал,3 г,0 г,10 г
Овсяная Каша [Макдоналдс],154 кКал,"4,3 г","4,1 г",23 г
Овсяная Каша с Джемом [Макдоналдс],200 кКал,4 г,4 г,35 г
Овсяная Каша с Клюквой и Изюмом [Макдоналдс],217 кКал,"4,6 г","4,1 г",39 г
Овсяная Каша Стандартная [Макдоналдс],150 кКал,4 г,4 г,23 г
Омлет [Макдоналдс],305 кКал,18 г,14 г,26 г
Омлет с Беконом [Макдоналдс],341 кКал,19 г,17 г,27 г
Омлет с Ветчиной [Макдоналдс],344 кКал,24 г,15 г,27 г
Омлет Стандартный [Макдоналдс],305 кКал,18 г,14 г,26 г
Омлеттер [Макдоналдс],251 кКал,13 г,13 г,20 г
Острые Чикен Макнаггетс (6) [Макдоналдс],284 кКал,15 г,16 г,20 г
Острые Чикен Макнаггетс (9) [Макдоналдс],427 кКал,22 г,24 г,30 г
Панини Тоскана [Макдоналдс],616 кКал,31 г,34 г,46 г
Панини Тоскана без Соуса [Макдоналдс],553 кКал,30 г,28 г,45 г
